config,engine,phase,run,ops
k2048_v256,tidesdb,Backward,1,1132448.98
k2048_v256,tidesdb,Delete,1,378562.77
k2048_v256,tidesdb,Put,2,2021637.84
k2048_v256,tidesdb,Get,2,900455.28
k2048_v256,tidesdb,Forward,2,2466637.76
k2048_v256,tidesdb,Backward,2,1076704.69
k2048_v256,tidesdb,Delete,2,395472.53
k2048_v256,ondadb,Put,1,857254
k2048_v256,ondadb,Get,1,2325376
k2048_v256,ondadb,Forward,1,1836599
k2048_v256,ondadb,Backward,1,1749099
k2048_v256,ondadb,Delete,1,862641
k2048_v256,ondadb,Put,2,617125
k2048_v256,ondadb,Get,2,2318446
k2048_v256,ondadb,Forward,2,534784
k2048_v256,ondadb,Backward,2,1008578
k2048_v256,ondadb,Delete,2,766993
k2048_v256,fjall,Put,1,338299
k2048_v256,fjall,Get,1,187541
k2048_v256,fjall,Forward,1,299179
k2048_v256,fjall,Backward,1,348875
k2048_v256,fjall,Delete,1,354487
k2048_v256,fjall,Put,2,372320
k2048_v256,fjall,Get,2,191463
k2048_v256,fjall,Forward,2,304425
k2048_v256,fjall,Backward,2,345676
k2048_v256,fjall,Delete,2,337437
k2048_v256,surrealkv,Put,1,344469
k2048_v256,surrealkv,Get,1,118337
k2048_v256,surrealkv,Forward,1,608695
k2048_v256,surrealkv,Backward,1,440918
k2048_v256,surrealkv,Delete,1,570551
k2048_v256,surrealkv,Put,2,337221
k2048_v256,surrealkv,Get,2,121933
k2048_v256,surrealkv,Forward,2,611657
k2048_v256,surrealkv,Backward,2,483986
k2048_v256,surrealkv,Delete,2,620917
k2048_v256,wavesdb,Put,1,761984
k2048_v256,wavesdb,Get,1,384566
k2048_v256,wavesdb,Forward,1,972645
k2048_v256,wavesdb,Backward,1,906251
k2048_v256,wavesdb,Delete,1,1145045
k2048_v256,wavesdb,Put,2,729646
k2048_v256,wavesdb,Get,2,389016
k2048_v256,wavesdb,Forward,2,1032993
k2048_v256,wavesdb,Backward,2,939736
k2048_v256,wavesdb,Delete,2,1086754
k2048_v256,badger,Put,1,444602
k2048_v256,badger,Get,1,354312
k2048_v256,badger,Forward,1,334440
k2048_v256,badger,Backward,1,346831
k2048_v256,badger,Delete,1,523859
k2048_v256,badger,Put,2,439909
k2048_v256,badger,Get,2,322269
k2048_v256,badger,Forward,2,331647
k2048_v256,badger,Backward,2,363481
k2048_v256,badger,Delete,2,542306
k2048_v256,wildcat,Put,1,13922
k2048_v256,wildcat,Get,1,521
k2048_v256,wildcat,Forward,1,5329
k2048_v256,wildcat,Backward,1,5778
k2048_v256,wildcat,Delete,1,17353
k2048_v256,wildcat,Put,2,13780
k2048_v256,wildcat,Get,2,386
k2048_v256,wildcat,Forward,2,4621
k2048_v256,wildcat,Backward,2,4943
k2048_v256,wildcat,Delete,2,16996
k2048_v256,rocksdb,Put,1,543915
k2048_v256,rocksdb,Get,1,1028917
k2048_v256,rocksdb,Forward,1,315818
k2048_v256,rocksdb,Backward,1,291386
k2048_v256,rocksdb,Delete,1,518137
k2048_v256,rocksdb,Put,2,510874
k2048_v256,rocksdb,Get,2,1091729
k2048_v256,rocksdb,Forward,2,320494
k2048_v256,rocksdb,Backward,2,301375
k2048_v256,rocksdb,Delete,2,602893
